Code,Name,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2015 Population)",2020 Population
010000000,Region I (Ilocos Region),Reg,,,,," 5,301,139 "
012800000,Ilocos Norte,Prov,,,1st,," 609,588 "
012801000,Adams,Mun,,,5th,," 2,189 "
012801001,Adams (Pob.),Bgy,,,,R," 2,189 "
012802000,Bacarra,Mun,,,3rd,," 33,496 "
012802001,Bani,Bgy,,,,R," 1,079 "
012802002,Buyon,Bgy,,,,R," 1,669 "
012802003,Cabaruan,Bgy,,,,R," 1,418 "
012802004,Cabulalaan,Bgy,,,,R, 733 
012802005,Cabusligan,Bgy,,,,R," 1,170 "
012802006,Cadaratan,Bgy,,,,R," 1,212 "
012802007,Calioet-Libong,Bgy,,,,R, 827 
012802008,Casilian,Bgy,,,,R," 1,061 "
012802009,Corocor,Bgy,,,,R, 867 
012802011,Duripes,Bgy,,,,R," 1,036 "
012802012,Ganagan,Bgy,,,,R, 701 
012802013,Libtong,Bgy,,,,R," 1,620 "
012802014,Macupit,Bgy,,,,R, 647 
012802015,Nambaran,Bgy,,,,R," 1,004 "
012802016,Natba,Bgy,,,,R, 560 
012802017,Paninaan,Bgy,,,,R, 435 
012802018,Pasiocan,Bgy,,,,R," 1,209 "
012802019,Pasngal,Bgy,,,,R, 799 
012802020,Pipias,Bgy,,,,R," 1,047 "
012802021,Pulangi,Bgy,,,,R," 1,091 "
012802022,Pungto,Bgy,,,,R, 554 
012802024,San Agustin I (Pob.),Bgy,,,,R, 544 
012802025,San Agustin II (Pob.),Bgy,,,,R, 281 
012802027,San Andres I (Pob.),Bgy,,,,R, 796 
012802028,San Andres II (Pob.),Bgy,,,,R, 724 
012802030,San Gabriel I (Pob.),Bgy,,,,R, 294 
012802031,San Gabriel II (Pob.),Bgy,,,,R, 406 
012802033,San Pedro I (Pob.),Bgy,,,,R, 393 
012802034,San Pedro II (Pob.),Bgy,,,,R, 585 
012802036,San Roque I (Pob.),Bgy,,,,R, 530 
012802037,San Roque II (Pob.),Bgy,,,,R, 399 
012802039,San Simon I (Pob.),Bgy,,,,R, 637 
012802040,San Simon II (Pob.),Bgy,,,,R, 341 
012802041,San Vicente (Pob.),Bgy,,,,R, 723 
012802042,Sangil,Bgy,,,,R," 1,097 "
012802044,Santa Filomena I (Pob.),Bgy,,,,R, 276 
012802045,Santa Filomena II (Pob.),Bgy,,,,R, 344 
012802046,Santa Rita (Pob.),Bgy,,,,R," 1,119 "
012802047,Santo Cristo I (Pob.),Bgy,,,,R, 422 
012802048,Santo Cristo II (Pob.),Bgy,,,,R, 459 
012802050,Tambidao,Bgy,,,,R, 813 
012802051,Teppang,Bgy,,,,R, 706 
012802052,Tubburan,Bgy,,,,R, 868 
012803000,Badoc,Mun,,,3rd,," 32,530 "
012803001,Alay-Nangbabaan,Bgy,Alay 15-B,,,R," 1,090 "
012803002,Alogoog,Bgy,,,,R, 974 
012803003,Ar-arusip,Bgy,,,,R, 808 
012803004,Aring,Bgy,,,,R," 1,362 "
012803005,Balbaldez,Bgy,,,,R, 302 
012803006,Bato,Bgy,,,,R, 996 
012803007,Camanga,Bgy,,,,R," 1,213 "
012803008,Canaan (Pob.),Bgy,,,,R, 603 
012803009,Caraitan,Bgy,,,,R," 1,391 "
012803011,Gabut Norte,Bgy,,,,R," 1,680 "
012803012,Gabut Sur,Bgy,,,,R, 894 
012803013,Garreta (Pob.),Bgy,,,,R," 1,383 "
012803016,Labut,Bgy,,,,R, 848 
012803017,Lacuben,Bgy,,,,R," 1,703 "
012803018,Lubigan,Bgy,,,,R," 1,381 "
012803020,Mabusag Norte,Bgy,,,,R," 1,125 "
012803021,Mabusag Sur,Bgy,,,,R," 1,135 "
012803022,Madupayas,Bgy,,,,R, 848 
012803023,Morong,Bgy,,,,R, 892 
012803025,Nagrebcan,Bgy,,,,R, 528 
012803026,Napu,Bgy,,,,R," 1,514 "
012803027,La Virgen Milagrosa,Bgy,Paguetpet,,,R," 1,095 "
012803028,Pagsanahan Norte,Bgy,,,,R," 1,170 "
012803029,Pagsanahan Sur,Bgy,,,,R," 1,412 "
012803030,Paltit,Bgy,,,,R," 1,589 "
012803031,Parang,Bgy,,,,R, 438 
012803032,Pasuc,Bgy,,,,R, 505 
012803034,Santa Cruz Norte,Bgy,,,,R, 916 
012803035,Santa Cruz Sur,Bgy,,,,R, 702 
012803036,Saud,Bgy,,,,R," 1,325 "
012803037,Turod,Bgy,,,,R, 708 
012804000,Bangui,Mun,,,4th,," 15,019 "
012804001,Abaca,Bgy,,,,U," 1,842 "
012804002,Bacsil,Bgy,,,,R, 683 
012804003,Banban,Bgy,,,,R, 777 
012804004,Baruyen,Bgy,,,,R," 1,742 "
012804005,Dadaor,Bgy,,,,R, 405 
012804006,Lanao,Bgy,,,,R," 2,017 "
012804007,Malasin,Bgy,,,,R," 1,028 "
012804008,Manayon,Bgy,,,,R, 997 
012804009,Masikil,Bgy,,,,R, 649 
012804010,Nagbalagan,Bgy,,,,R, 707 
012804011,Payac,Bgy,,,,R, 781 
012804012,San Lorenzo (Pob.),Bgy,,,,R," 2,261 "
012804014,Taguiporo,Bgy,,,,R, 491 
012804015,Utol,Bgy,,,,R, 639 
012805000,City of Batac,City,,CC,5th,," 55,484 "
012805001,Aglipay (Pob.),Bgy,,,,R," 1,059 "
012805002,Baay,Bgy,,,,R," 3,241 "
012805003,Baligat,Bgy,,,,R," 1,923 "
012805004,Bungon,Bgy,,,,R," 1,546 "
012805005,Baoa East,Bgy,,,,R, 747 
012805006,Baoa West,Bgy,,,,R," 1,404 "
012805007,Barani (Pob.),Bgy,,,,R, 636 
012805009,Ben-agan (Pob.),Bgy,,,,R, 714 
012805010,Bil-loca,Bgy,,,,R," 2,780 "
012805011,Biningan,Bgy,,,,R, 468 
012805012,Callaguip (Pob.),Bgy,,,,U, 832 
012805013,Camandingan,Bgy,,,,R," 1,506 "
012805014,Camguidan,Bgy,,,,R, 522 
012805015,Cangrunaan (Pob.),Bgy,,,,R, 721 
012805016,Capacuan,Bgy,,,,R, 727 
012805017,Caunayan (Pob.),Bgy,,,,U," 1,105 "
012805018,Valdez Pob.,Bgy,Caoayan,,,U, 808 
012805019,Colo,Bgy,,,,R," 1,432 "
012805020,Pimentel,Bgy,Cubol,,,R," 1,166 "
012805021,Dariwdiw,Bgy,,,,R," 2,053 "
012805022,Acosta Pob.,Bgy,Iloilo,,,U," 1,058 "
012805023,Ablan Pob.,Bgy, Labucao,,,U, 740 
012805024,Lacub (Pob.),Bgy,,,,R, 422 
012805025,Mabaleng,Bgy,,,,R," 1,162 "
012805026,Magnuang,Bgy,,,,U," 2,196 "
012805027,Maipalig,Bgy,,,,R, 456 
012805028,Nagbacalan,Bgy,,,,R," 1,085 "
012805029,Naguirangan,Bgy,,,,R," 1,615 "
012805030,Ricarte Pob.,Bgy,Nalasin,,,U, 765 
012805031,Palongpong,Bgy,,,,R," 1,867 "
012805032,Palpalicong (Pob.),Bgy,,,,R, 828 
012805033,Parangopong,Bgy,,,,R," 1,253 "
012805034,Payao,Bgy,,,,R," 1,457 "
012805035,Quiling Norte,Bgy,,,,R," 1,528 "
012805036,Quiling Sur,Bgy,,,,R," 3,267 "
012805037,Quiom,Bgy,,,,R, 884 
012805038,Rayuray,Bgy,,,,R," 1,062 "
012805039,San Julian (Pob.),Bgy,,,,R, 465 
012805040,San Mateo,Bgy,,,,R," 1,135 "
012805041,San Pedro,Bgy,,,,R, 898 
012805042,Suabit (Pob.),Bgy,,,,U," 1,209 "
012805043,Sumader,Bgy,,,,R," 1,387 "
012805044,Tabug,Bgy,,,,U," 3,355 "
012806000,Burgos,Mun,,,5th,," 10,759 "
012806001,Ablan Sarat,Bgy,,,,R," 1,518 "
012806002,Agaga,Bgy,,,,R, 609 
012806005,Bayog,Bgy,,,,R, 773 
012806006,Bobon,Bgy,,,,R," 1,482 "
012806007,Buduan,Bgy,Malituek,,,R, 940 
012806008,Nagsurot,Bgy,,,,R, 902 
012806009,Paayas,Bgy,,,,U, 869 
012806010,Pagali,Bgy,,,,R, 776 
012806011,Poblacion,Bgy,,,,R," 1,468 "
012806013,Saoit,Bgy,,,,R, 739 
012806014,Tanap,Bgy,,,,R, 683 
012807000,Carasi,Mun,,,5th,," 1,607 "
012807001,Angset,Bgy,,,,R, 176 
012807003,Barbaqueso (Pob.),Bgy,,,,R, 812 
012807004,Virbira,Bgy,,,,R, 619 
012808000,Currimao,Mun,,,4th,," 12,215 "
012808001,Anggapang Norte,Bgy,,,,R, 319 
012808002,Anggapang Sur,Bgy,,,,R, 183 
012808003,Bimmanga,Bgy,,,,R, 342 
012808004,Cabuusan,Bgy,,,,R, 327 
012808005,Comcomloong,Bgy,,,,R, 124 
012808006,Gaang,Bgy,,,,R," 1,287 "
012808007,Lang-ayan-Baramban,Bgy,,,,R, 531 
012808008,Lioes,Bgy,,,,R, 479 
012808009,Maglaoi Centro,Bgy,,,,R, 229 
012808010,Maglaoi Norte,Bgy,,,,R, 658 
012808011,Maglaoi Sur,Bgy,,,,R, 543 
012808013,Paguludan-Salindeg,Bgy,,,,R, 296 
012808014,Pangil,Bgy,,,,R, 541 
012808015,Pias Norte,Bgy,,,,R, 932 
012808016,Pias Sur,Bgy,,,,R, 778 
012808017,Poblacion I,Bgy,,,,R, 673 
012808018,Poblacion II,Bgy,,,,R, 564 
012808019,Salugan,Bgy,,,,R, 586 
012808020,San Simeon,Bgy,,,,R, 284 
012808021,Santa Cruz,Bgy,,,,R, 356 
012808022,Tapao-Tigue,Bgy,,,,R, 874 
012808023,Torre,Bgy,,,,R, 410 
012808024,Victoria,Bgy,,,,R, 899 
012809000,Dingras,Mun,,,2nd,," 40,127 "
012809001,Albano (Pob.),Bgy,,,,U, 871 
012809002,Bacsil,Bgy,,,,R, 878 
012809003,Bagut,Bgy,,,,R," 1,062 "
012809004,Parado,Bgy,Bangay,,,R," 1,563 "
012809005,Baresbes,Bgy,,,,R," 2,036 "
012809006,Barong,Bgy,,,,R," 2,468 "
012809007,Bungcag,Bgy,,,,R, 578 
012809009,Cali,Bgy,,,,R," 1,343 "
012809010,Capasan,Bgy,,,,R, 732 
012809011,Dancel (Pob.),Bgy,,,,R, 654 
012809012,Foz,Bgy,,,,R, 915 
012809013,Guerrero (Pob.),Bgy,,,,R," 1,496 "
012809014,Lanas,Bgy,,,,R," 1,062 "
012809015,Lumbad,Bgy,,,,R," 1,079 "
012809016,Madamba (Pob.),Bgy,,,,U," 1,961 "
012809017,Mandaloque,Bgy,,,,R, 647 
012809018,Medina,Bgy,,,,R," 1,298 "
012809019,Ver,Bgy,Naglayaan,,,R," 1,223 "
012809020,San Marcelino,Bgy,Padong,,,R," 4,053 "
012809021,Puruganan (Pob.),Bgy,,,,R, 868 
012809022,Peralta (Pob.),Bgy,,,,R," 1,340 "
012809023,Root,Bgy,Baldias,,,R, 807 
012809024,Sagpatan,Bgy,,,,R, 846 
012809025,Saludares,Bgy,,,,R," 1,473 "
012809026,San Esteban,Bgy,,,,R, 831 
012809027,Espiritu,Bgy,,,,R," 1,030 "
012809028,Sulquiano,Bgy,Sidiran,,,R," 1,478 "
012809029,San Francisco,Bgy,Surrate,,,R," 2,304 "
012809030,Suyo,Bgy,,,,U," 1,404 "
012809031,San Marcos,Bgy,,,,R, 741 
012809032,Elizabeth,Bgy,,,,R," 1,086 "
012810000,Dumalneg,Mun,,,5th,," 3,087 "
012810001,Cabaritan,Bgy,Dumalneg,,,R, 448 
012810002,San Isidro,Bgy,,,,R," 1,026 "
012810003,Kalaw,Bgy,Dumalneg,,,, 644 
012810004,Quibel,Bgy,Dumalneg,,,, 969 
012811000,Banna,Mun,Espiritu,,4th,," 19,297 "
012811001,Balioeg,Bgy,,,,R, 844 
012811002,Bangsar,Bgy,,,,R, 874 
012811003,Barbarangay,Bgy,,,,R, 819 
012811004,Bomitog,Bgy,,,,R," 1,276 "
012811005,Bugasi,Bgy,,,,R, 945 
012811006,Caestebanan,Bgy,,,,R, 836 
012811008,Caribquib,Bgy,,,,R," 1,055 "
012811009,Catagtaguen,Bgy,,,,R," 1,318 "
012811011,Crispina,Bgy,,,,R, 955 
012811012,Hilario (Pob.),Bgy,,,,R, 951 
012811013,Imelda,Bgy,,,,R, 613 
012811014,Lorenzo (Pob.),Bgy,,,,R, 746 
012811015,Macayepyep,Bgy,,,,R," 1,054 "
012811016,Marcos (Pob.),Bgy,,,,R," 1,048 "
012811017,Nagpatayan,Bgy,,,,R, 902 
012811018,Valdez,Bgy,,,,R," 1,061 "
012811019,Sinamar,Bgy,,,,R," 1,205 "
012811020,Tabtabagan,Bgy,,,,R," 1,148 "
012811021,Valenciano (Pob.),Bgy,,,,R, 694 
012811022,Binacag,Bgy,,,,R, 953 
012812000,City of Laoag (Capital),City,,CC,3rd,," 111,651 "
012812001,"Bgy. No. 42, Apaya",Bgy,,,,R, 953 
012812002,"Bgy. No. 36, Araniw",Bgy,,,,R, 958 
012812003,"Bgy. No. 56-A, Bacsil North",Bgy,,,,R, 893 
012812004,"Bgy. No. 56-B, Bacsil South",Bgy,,,,R," 1,346 "
012812005,"Bgy. No. 41, Balacad",Bgy,,,,R," 1,595 "
012812006,"Bgy. No. 40, Balatong",Bgy,,,,R," 2,674 "
012812007,"Bgy. No. 55-A, Barit-Pandan",Bgy,,,,U," 2,311 "
012812008,"Bgy. No. 47, Bengcag",Bgy,,,,U," 1,916 "
012812009,"Bgy. No. 50, Buttong",Bgy,,,,U," 2,764 "
012812010,"Bgy. No. 60-A, Caaoacan",Bgy,,,,R," 1,331 "
012812011,"Bry. No. 48-A, Cabungaan North",Bgy,,,,R," 2,058 "
012812012,"Bgy. No. 48-B, Cabungaan South",Bgy,,,,R," 1,296 "
012812013,"Bgy. No. 37, Calayab",Bgy,,,,U," 2,103 "
012812014,"Bgy. No. 54-B, Camangaan",Bgy,,,,R," 1,006 "
012812015,"Bgy. No. 58, Casili",Bgy,,,,R, 993 
012812016,"Bgy. No. 61, Cataban",Bgy,,,,R, 766 
012812017,"Bgy. No. 43, Cavit",Bgy,,,,R," 1,140 "
012812019,"Bgy. No. 49-A, Darayday",Bgy,,,,R, 960 
012812020,"Bgy. No. 59-B, Dibua North",Bgy,,,,R, 881 
012812021,"Bgy. No. 59-A, Dibua South",Bgy,,,,R," 1,105 "
012812022,"Bgy. No. 34-B, Gabu Norte East",Bgy,,,,R," 1,321 "
